Address:,"% of the total number of Issued Shares/ Warrants/ Units:","Name of CCASS Participant (* for Consenting Investor Participants ):",Shareholding:,"Participant ID:"
"32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG","9.54%","CHINA INDUSTRIAL SECURITIES","223,780,719",B01938
"12/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","7.48%","CCB INTERNATIONAL SECURITIES LTD","175,560,571",B01813
"RM 2901 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","6.82%","TAIPING SECURITIES (HK) CO LTD","160,016,467",B01217
"HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON","5.74%","THE HONGKONG AND SHANGHAI BANKING","134,601,828",C00019
"41/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG","4.08%","KGI ASIA LTD","95,778,887",B01610
"46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON","4.05%","MORGAN STANLEY HONG KONG SECURITIES LTD","95,019,000",B01274
"6/F HARCOURT HOUSE 39 GLOUCESTER ROAD HONG KONG","3.50%","UOB KAY HIAN (HONG KONG) LTD","82,181,070",B01353
"UNITS 2201-2207 & 2213-2214 22/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","3.12%","LUK FOOK SECURITIES (HK) LTD","73,286,305",B01556
"22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","2.90%","BOCI SECURITIES LTD","68,094,284",B01130
"16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON","2.62%","HANG SENG SECURITIES LTD","61,657,233",B01284
"42/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG","2.55%","SUN HUNG KAI INVESTMENT SERVICES LTD","59,969,607",B01086
"19/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG","1.46%","FIRST SHANGHAI SECURITIES LTD","34,433,470",B01686
"42/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","1.35%","UBS SECURITIES HONG KONG LTD","31,836,564",B01161
"RM 2502 25/F NAM WO BUILDING 148 WING LOK STREET SHEUNG WAN HONG KONG","1.35%","GLOBAL MASTERMIND SECURITIES LTD","31,749,000",B02087
"9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON","0.87%","CITIBANK N.A.","20,606,520",C00010
"SUITES 3201-3204 ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG","0.87%","YUNFENG SECURITIES LTD","20,410,942",B01967
"LEVEL 17 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG","0.82%","SOOCHOW SECURITIES INTERNATIONAL","19,245,941",B01939
"SECURITIES SERVICES 15/F STANDARD CHARTERED TOWER 388 KWUN TONG ROAD KWUN TONG KOWLOON","0.78%","STANDARD CHARTERED BANK (HONG KONG) LTD","18,424,491",C00039
"11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON","0.76%","BANK OF CHINA (HONG KONG) LTD","17,970,952",C00033
"15/F BANK OF COMMUNICATIONS TOWER 231-235 GLOUCESTER ROAD WANCHAI HONG KONG","0.51%","BANK OF COMMUNICATIONS TRUSTEE LTD","12,192,698",C00002
"72/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.45%","KINGSTON SECURITIES LTD","10,618,706",B01438
"1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG","0.44%","OCBC WING HANG SHARES BROKERAGE CO. LTD","10,421,469",B01265
"10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG","0.41%","GET NICE SECURITIES LTD","9,784,374",B01298
"7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON","0.33%","DBS BANK (HONG KONG) LTD","7,878,606",C00015
"LEVEL 25 HSBC MAIN BUILDING 1 QUEEN'S ROAD CENTRAL HONG KONG","0.33%","HSBC BROKING SECURITIES (HONG KONG) LTD","7,762,145",B01089
"48/F ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG","0.30%","CHINA MERCHANTS SECURITIES (HK) CO LTD","7,249,325",B01148
"SUITE 1512 TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.27%","INTERACTIVE BROKERS HONG KONG LTD","6,343,000",B01590
"26/F CITIC TOWER 1 TIM MEI AVENUE CENTRAL HONG KONG","0.24%","CITIC SECURITIES BROKERAGE (HK) LTD","5,794,698",B01228
"7/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG","0.24%","SINOPAC SECURITIES (ASIA) LTD","5,685,261",B01497
"RM 1406-1412 14/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","0.23%","CSL SECURITIES LTD","5,404,237",B01421
"LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON","0.20%","ICBC (ASIA) SECURITIES LTD","4,884,154",B01727
"27/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.16%","GUOTAI JUNAN SECURITIES (HONG KONG) LTD","3,983,321",B01565
"11/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG","0.15%","CORE PACIFIC - YAMAICHI INTERNATIONAL","3,626,572",B01413
"40/F LEE GARDEN ONE 33 HYSAN AVENUE CAUSEWAY BAY HONG KONG","0.14%","SOUTHWEST SECURITIES (HK) BROKERAGE LTD","3,506,694",B01508
"23/F-24/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WANCHAI HONG KONG","0.14%","EMPEROR SECURITIES LTD","3,463,870",B01338
"11/F BANGKOK BANK BUILDING 14-20 BONHAM STRAND WEST SHEUNG WAN HONG KONG","0.14%","FUTU SECURITIES INTERNATIONAL","3,401,471",B01955
"18/F DEVON HOUSE TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG","0.14%","CHINA CITIC BANK INTERNATIONAL LTD","3,304,396",C00058
"28/F LEE GARDEN THREE 1 SUNNING ROAD CAUSEWAY BAY HONG KONG","0.13%","KIM ENG SECURITIES (HONG KONG) LTD","3,272,360",B01264
"SUITES 3207-3212 32/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.10%","GUOSEN SECURITIES (HK) BROKERAGE CO LTD","2,438,000",B01890
"28/F THREE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.10%","CHINA MERCHANTS BANK CO LTD","2,396,000",C00088
"RM 901-904 WORLD WIDE HOUSE 19 DES VOEUX ROAD CENTRAL HONG KONG","0.09%","PRUDENTIAL BROKERAGE LTD","2,240,959",B01423
"LEVEL 16 TOWER 1 MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG KOWLOON","0.09%","INDUSTRIAL AND COMMERCIAL BANK OF CHINA","2,195,038",C00040
"18/F-19/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG","0.09%","CHINA TONGHAI SECURITIES LTD","2,186,660",B01184
"22/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG","0.08%","HAITONG INTERNATIONAL SECURITIES CO LTD","1,876,877",B01143
"35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON","0.07%","THE BANK OF EAST ASIA LTD","1,739,000",C00003
"RM 1207-1209 12/F WING LUNG BANK CENTRE 636 NATHAN ROAD KOWLOON","0.06%","CMB WING LUNG BANK LTD","1,444,445",C00042
"16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON","0.06%","HANG SENG BANK LTD","1,441,649",C00018
"11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON","0.06%","NANYANG COMMERCIAL BANK LTD","1,441,418",C00028
"37/F ICBC TOWER 3 GARDEN ROAD HONG KONG","0.05%","ICBC INTERNATIONAL SECURITIES LTD","1,368,000",B01866
"RM 803-804 LUK YU BLDG 24-26 STANLEY STREET CENTRAL HONG KONG","0.05%","COL SECURITIES (HK) LTD","1,230,000",B01748
"29/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG","0.04%","CHINA INTERNATIONAL CAPITAL CORPORATION","1,123,000",B01654
"RM 701 DINA HOUSE RUTTONJEE CENTRE 11 DUDDELL STREET CENTRAL HONG KONG","0.04%","TAIFAIR SECURITIES LTD","1,103,193",B01392
"LEVEL 19 28 HENNESSY ROAD HONG KONG","0.04%","SHENWAN HONGYUAN SECURITIES (H.K.) LTD","1,097,227",B01115
"37/F TIMES TOWER 393 JAFFE ROAD CAUSEWAY BAY HONG KONG","0.04%","ENHANCED SECURITIES LTD","1,085,000",B01928
"SUITE 3509 35/F TOWER 2 LIPPO CENTRE 89 QUEENSWAY HONG KONG","0.04%","DAKIN SECURITIES LTD","1,000,000",B02036
"C/O BANK OF AMERICA MERRILL LYNCH 38/F CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.04%","MERRILL LYNCH FAR EAST LTD","968,936",B01224
"10/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","0.04%","BRIGHT SMART SECURITIES INTERNATIONAL","938,115",B01668
"6/F JUBILEE CENTRE 18 FENWICK STREET WANCHAI HONG KONG","0.03%","ENLIGHTEN SECURITIES LTD","926,941",B01633
"SUITES 3208-3211 32/F TOWER TWO TIMES SQUARE 1 MATHESON STREET CAUSEWAY BAY HONG KONG","0.03%","I-ACCESS INVESTORS LTD","842,464",B01818
"28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG","0.03%","ORIENT SECURITIES (HONG KONG) LTD","784,000",B01900
"39/F ONE EXCHANGE SQUARE CENTRAL HONG KONG","0.03%","ESSENCE INTERNATIONAL SECURITIES","731,532",B01905
"UNITS 3601, 07 & 11-13 36/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG","0.02%","CHINA PA SECURITIES (HONG KONG) CO LTD","680,000",B02176
"C/O BEA SETTLEMENT OPERATIONS DEPT-IOS 35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KOWLOON","0.02%","EAST ASIA SECURITIES CO LTD","676,150",B01118
"11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON","0.02%","CHIYU BANKING CORPORATION LTD","663,308",C00048
"11/F UNITED CENTRE 95 QUEENSWAY HONG KONG","0.02%","PHILLIP SECURITIES (HONG KONG) LTD","532,447",B01345
"UNITS 603-605 6/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG","0.02%","LUEN FAT SECURITIES CO LTD","495,318",B01320
"PORTION 1 12/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG","0.02%","MASON SECURITIES LTD","472,081",B01209
"RM 3310 33/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG","0.01%","TAI FUNG KUENTAI SECURITIES CO LTD","445,882",B01623
"RM 1704-1710 KORNHILL PLAZA-OFFICE TOWER 1 KORNHILL ROAD QUARRY BAY HONG KONG","0.01%","CHOW SANG SANG SECURITIES LTD","429,944",B01137
"RM 1701 WINDSOR HOUSE 311 GLOUCESTER ROAD CAUSEWAY BAY HONG KONG","0.01%","FAIR EAGLE SECURITIES CO LTD","422,934",B01259
"28/F BANK OF CHINA TOWER 1 GARDEN RD CENTRAL HONG KONG","0.01%","SOUTH CHINA SECURITIES LTD","419,926",B01289
"29/F-30/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG","0.01%","GF SECURITIES (HONG KONG) BROKERAGE LTD","412,000",B01826
"33/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG","0.01%","FULBRIGHT SECURITIES LTD","377,998",B01673
"21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG","0.01%","BNP PARIBAS SECURITIES SERVICES","373,584",C00093
"UNIT 1702 17/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG","0.01%","OCBC WING HANG BANK LTD","360,622",C00041
"RM 2403 24/F EVERBRIGHT CENTRE 108 GLOUCESTER ROAD WANCHAI HONG KONG","0.01%","DAH SING SECURITIES LTD","351,844",B01695
"RM 602 YIP FUNG BUILDING 2-18 D'AGUILAR STREET CENTRAL HONG KONG","0.01%","WADER SECURITIES CO LTD","350,000",B01574
"22/F MANHATTAN PLACE 23 WANG TAI ROAD KOWLOON BAY KOWLOON","0.01%","CELESTIAL SECURITIES LTD","346,300",B01119
"707A WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG","0.01%","TAI TAK SECURITIES (ASIA) LTD","342,694",B01439
"18/F TOWER 2 THE QUAYSIDE 77 HOI BUN ROAD KWUN TONG KOWLOON","0.01%","JPMORGAN CHASE BANK, NATIONAL","339,676",C00100
"19/F GREENWICH CENTRE 260 KING'S ROAD NORTH POINT HONG KONG","0.01%","FB SECURITIES (HONG KONG) LTD","332,867",B01272
"RM 901-2 LANSING HSE 41-47 QUEEN'S RD C CENTRAL HONG KONG","0.01%","BAN HIN SECURITIES CO LTD","329,259",B01328
"2/F CHONG HING BANK CENTRE 24 DES VOEUX ROAD CENTRAL HONG KONG","0.01%","CHONG HING SECURITIES LTD","323,156",B01183
"49/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.01%","VMS SECURITIES LTD","320,000",B01080
"UNIT A3 32/F UNITED CENTRE 95 QUEENSWAY HONG KONG","0.01%","EVERGRANDE SECURITIES (HONG KONG) LTD","310,376",B01685
"C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES","0.01%","SHANGHAI COMMERCIAL BANK LTD","309,147",C00037
"3702B FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG","0.01%","SINO-RICH SECURITIES & FUTURES LTD","303,000",B01710
"23/F TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG","0.01%","YUANTA SECURITIES (HONG KONG) CO LTD","295,129",B01858
"51/F-66/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON","0.01%","DEUTSCHE BANK AG","287,000",C00074
"11/F FWD FINANCIAL CENTRE 308 DES VOEUX ROAD CENTRAL HONG KONG","0.01%","CHIEF SECURITIES LTD","275,230",B01584
"ROOM 1802 18/F CAPITAL CENTRE NO. 151 GLOUCESTER ROAD WANCHAI HONG KONG","0.01%","FUNDERSTONE SECURITIES LTD","271,496",B01324
"20/F V-HEUN BUILDING 138 QUEEN'S ROAD CENTRAL HONG KONG","0.01%","YARDLEY SECURITIES LTD","250,189",B01493
"21/F 141 CONNAUGHT ROAD WEST HONG KONG","0.01%","HUA NAN SECURITIES (HK) LTD","240,000",B01721
"RM 1101-3 11/F YARDLEY COMMERCIAL BLDG 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG","0.00%","VICTORY SECURITIES CO LTD","223,387",B01445
"SUITE 930 9/F OCEAN CENTRE HARBOUR CITY 5 CANTON ROAD KOWLOON","0.00%","HUAYU SECURITIES LTD","219,413",B01550
"11/F MAN YEE BUILDING 68 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","BOCOM INTERNATIONAL SECURITIES LTD","217,010",B01842
"9/F NINE QUEEN'S ROAD CENTRAL HONG KONG","0.00%","OVERSEA-CHINESE BANKING CORPORATION LTD","200,000",C00070
"45TH FLOOR COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CINDA INTERNATIONAL SECURITIES LTD","187,106",B01649
"RM 701-702 YUE SHING COMMERCIAL BUILDING 15 QUEEN VICTORIA STREET CENTRAL HONG KONG","0.00%","SUNRISE SECURITIES LTD","183,824",B01788
"20/F CCB CENTRE 18 WANG CHIU ROAD KOWLOON BAY KOWLOON","0.00%","CHINA CONSTRUCTION BANK (ASIA)","183,365",C00036
"UNITS 2503, 2505-2506 25/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","SINOLINK SECURITIES (HONG KONG) CO LTD","180,000",B01256
"RM 601-602 6/F PETER BUILDING 58-60 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","SELINA & CO LTD","174,382",B01645
"3/F SHUM TOWER 268 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","BERICH BROKERAGE LTD","146,131",B01460
"ROOM 2808 28/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","VALUABLE CAPITAL LTD","140,282",B01904
"7/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG","0.00%","KINGSWAY FINANCIAL SERVICES GROUP LTD","134,295",B01581
"1/F WING'S BLDG 110-116 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","DL BROKERAGE LTD","132,637",B01450
"UNITS 1205-6 12/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","SOLID KING SECURITIES LTD","132,342",B01158
"RM 1307 13/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG","0.00%","GUODU SECURITIES (HONG KONG) LTD","132,000",B01875
"RM 1801-1806 PRESIDENT COMMERCIAL CENTRE 608 NATHAN ROAD MONGKOK KOWLOON","0.00%","TAT LEE SECURITIES CO LTD","129,326",B01511
"UNIT A 10/F YHC TOWER 1 SHEUNG YUET ROAD KOWLOON BAY KOWLOON","0.00%","TD KING SECURITIES LTD","120,847",B01843
"SUITE 1603-1607 16/F GREAT EAGLE CENTRE 23 HARBOUR ROAD WANCHAI HONG KONG","0.00%","SUCCESS SECURITIES LTD","120,000",B01680
"15/F 1 LYNDHURST TOWER 1 LYNDHURST TERRACE CENTRAL HONG KONG","0.00%","SOFI SECURITIES (HONG KONG) LTD","120,000",B01940
"12/F SHUM TOWER 268 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","MASTER TRADEMORE SECURITIES LTD","110,530",B01575
"SUITES 1505-1508 TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","CENTRAL CHINA INTERNATIONAL SECURITIES","110,000",B01982
"5/F LUK KWOK CENTRE 72 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","DELTA ASIA SECURITIES LTD","108,951",B01356
"RM B 7/F HILLIER COMMERCIAL BUILDING 89 WING LOK ST EAST CENTRAL HONG KONG","0.00%","BULLISH SECURITIES LTD","101,789",B01483
"14/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","PO KAY SECURITIES & SHARES CO LTD","100,653",B01198
"20/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","CHINA GALAXY INTERNATIONAL SECURITIES","99,188",B01929
"23/F GUANGDONG FINANCE BUILDING 88 CONNAUGHT ROAD WEST HONG KONG","0.00%","SINCERE SECURITIES LTD","95,350",B01427
"11/F NEW WORLD TOWER II 16-18 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","PACIFIC FOUNDATION SECURITIES LTD","90,094",B01230
"UNIT B 16/F WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","WAH SANG SECURITIES LTD","89,838",B01712
"21/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","CIS SECURITIES ASSET MANAGEMENT LTD","84,000",B01849
"ROOM 801-804 HALESON BUILDING 1 JUBILEE STREET CENTRAL HONG KONG","0.00%","TAI SHING STOCK INVESTMENT CO LTD","81,436",B01676
"28/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG","0.00%","YUE XIU SECURITIES CO LTD","81,035",B01551
"26/F SUPREME COMMERCIAL BUILDING 368 KING'S ROAD NORTH POINT HONG KONG","0.00%","WIN WONG SECURITIES LTD","79,451",B01407
"UNITS 2401-2403 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CAITONG INTERNATIONAL SECURITIES CO LTD","72,000",B01948
"LEVEL 7 28 HENNESSY ROAD WANCHAI HONG KONG","0.00%","RIFA SECURITIES LTD","71,484",B01173
"FLAT A & B 7/F NGAN HOUSE 210 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","TANG KEE SECURITIES LTD","70,864",B01749
"UNIT 6708A LEVEL 67 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON","0.00%","CENTRAL WEALTH SECURITIES INVESTMENT LTD","70,171",B01897
"RM 1003 10/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","FIRST WORLDSEC SECURITIES LTD","66,118",B01372
"UNIT 408-409 4/F FORTRESS TOWER 250 KING'S ROAD FORTRESS HILL HONG KONG","0.00%","CORPORATE BROKERS LTD","62,977",B01252
"8/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","HONG KONG SECURITIES CLEARING CO. LTD.","60,352",
"ROOM 1201-02 12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","CHINA SYSTEM SECURITIES LTD","60,000",B01809
"1/F-2/F PINNACLE BUILDING 9 SHIP STREET WANCHAI HONG KONG","0.00%","SPS SECURITIES LTD","57,317",B01290
"LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.00%","DAIWA CAPITAL MARKETS HONG KONG LTD","57,000",B01777
"11/F DUKE WELLINGTON BLDG 14-24 WELLINGTON ST CENTRAL HONG KONG","0.00%","HIP HING SECURITIES LTD","56,768",B01428
"UNIT A 16/F & UNIT A 17/F TWO PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.00%","HUARONG INTERNATIONAL SECURITIES LTD","55,079",B01563
"16/F ONE ISLAND EAST 18 WESTLANDS ROAD ISLAND EAST HONG KONG","0.00%","DBS VICKERS (HONG KONG) LTD","53,872",B01762
"2/F CHEONG K. BUILDING 84-86 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","ONE CHINA SECURITIES LTD","51,106",B01769
"17/F THREE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","0.00%","GUOYUAN SECURITIES BROKERAGE (HONG KONG)","51,000",B01825
"UNITS 1A&B, 2C & 6A KO'S HOUSE 577 NATHAN ROAD MONGKOK KOWLOON","0.00%","KO'S BROTHER SECURITIES CO LTD","49,028",B01761
