Address:,"% of the total number of Issued Shares/ Warrants/ Units:","Name of CCASS Participant (* for Consenting Investor Participants ):",Shareholding:,"Participant ID:"
"RM 2501 25/F AIA TOWER 183 ELECTRIC ROAD NORTH POINT HONG KONG","0.00%","MONEX BOOM SECURITIES (H.K.) LTD","46,236",B02132
"19/F UNIT A&B UNITED CENTRE 95 QUEENSWAY HONG KONG","0.00%","HING WONG SECURITIES LTD","44,590",B01123
"6/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","VC BROKERAGE LTD","43,884",B01416
"12/F SOUTH CHINA BUILDING 1-3 WYNDHAM STREET CENTRAL HONG KONG","0.00%","HANTEC SECURITIES CO LTD","43,482",B01696
"FLAT B 19/F GUANGDONG INVESTMENT BUILDING 148 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","CEPA ALLIANCE SECURITIES LTD","41,882",B01743
"5/F & 6/F MALAHON CENTRE 10-12 STANLEY STREET CENTRAL HONG KONG","0.00%","MALAHON SECURITIES LTD","41,231",B01213
"UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","0.00%","LEHIN SECURITIES LTD","38,056",B01340
"RM 2001-2006 COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","SANFULL SECURITIES LTD","37,835",B01275
"RM 1402 FORTIS BANK TOWER 77-79 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","WINFULL SECURITIES LTD","35,190",B01267
"SUITE 2701 27/F PROSPERITY TOWER 39 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CHRISTFUND SECURITIES LTD","35,034",B01373
"7/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG","0.00%","GOOD HARVEST SECURITIES CO LTD","30,378",B01519
"18/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","CHINA SECURITIES (INTERNATIONAL)","30,000",B01962
"RM 1002 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","WOCOM SECURITIES LTD","29,055",B01129
"ROOM 2305-2306 23/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG","0.00%","HONG KONG INTERNATIONAL SECURITIES LTD","26,942",B01231
"19/F TAK WOO HOUSE 17-19 D'AGUILAR STREET CENTRAL HONG KONG","0.00%","BOKHARY SECURITIES LTD","26,750",B01662
"UNIT 710-715 7/F MILLENNIUM CITY 2 378 KWUN TONG ROAD KOWLOON","0.00%","REALINK FINANCIAL TRADE LTD","26,706",B01700
"ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","CELETIO INVESTMENTS LTD","26,214",B01343
"RM 2115 21/F GREAT EAGLE CENTRE 23 HARBOUR ROAD WANCHAI HONG KONG","0.00%","PACIFIC CHALLENGE SECURITIES LTD","25,647",B01471
"2/F UNIT B WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","NORTH SEA SECURITIES LTD","23,460",B01520
"ROOMS 1101-02 & 1111-12 WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","EVER-LONG SECURITIES CO LTD","22,846",B01523
"7/F TWO HARBOUR SQUARE 180 WAI YIP STREET KWUN TONG KOWLOON","0.00%","DBS BANK LTD","22,000",C00016
"1/F SUN MONG HOUSE 50-56 MONGKOK ROAD MONGKOK KOWLOON","0.00%","KEE CHEONG SECURITIES CO LTD","21,591",B01525
"13/F FAIRMONT HOUSE 8 COTTON TREE DRIVE CENTRAL HONG KONG","0.00%","ABCI SECURITIES CO LTD","21,565",B01564
"RM 201-5 2/F KOWLOON CENTRE 29-39 ASHLEY ROAD KOWLOON","0.00%","RAMON INVESTMENT CO LTD","21,318",B01724
"RM 2704 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG","0.00%","ASTRUM CAPITAL MANAGEMENT LTD","21,000",B01810
"RM 504 MONGKOK COMMERCIAL CENTRE 16 ARGYLE STREET MONGKOK KOWLOON","0.00%","NORMAN KONG SECURITIES CO LTD","20,470",B01720
"UNIT 2208-2209 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","AFFLUX SECURITIES LTD","20,188",B02078
"RM 3702A 37/F FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG","0.00%","ALPHA SECURITIES CO LTD","20,000",B01292
"ROOM 05-06 17/F CONVENTION PLAZA OFFICE TOWER 1 HARBOUR ROAD WANCHAI HONG KONG","0.00%","HONGKONG BAY SECURITIES LTD","20,000",B01674
"UNITS 2209-10 22/F FORTRESS TOWER 250 KING'S ROAD HONG KONG","0.00%","GT CAPITAL LTD","20,000",B01725
"27/F TIMES MEDIA CENTRE 133 WAN CHAI ROAD WANCHAI HONG KONG","0.00%","NERICO BROTHERS LTD","20,000",B01831
"19TH FLOOR TUNG NING BUILDING 125-7 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","YICKO SECURITIES LTD","19,789",B01458
"68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","GOLDMAN SACHS (ASIA) SECURITIES LTD","17,500",B01451
"RM 406 4/F HOUSTON CENTRE 63 MODY ROAD TSIMSHATSUI EAST KOWLOON","0.00%","WELLFULL SECURITIES CO LTD","16,305",B01425
"UNITS 2603-2606 26/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","PRESIDENT SECURITIES (HONG KONG) LTD","16,000",B01715
"27/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","ORIENTAL PATRON SECURITIES LTD","13,471",B01510
"UNIT 3203 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG","0.00%","EASTMONEY INTERNATIONAL SECURITIES LTD","13,000",B01885
"2/F SIU YING COMM BLDG 151-155 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","WO FUNG SECURITIES CO LTD","12,941",B01546
"6/F EURO TRADE CTR 13-14 CONNAUGHT RD CENTRAL HONG KONG","0.00%","OKACHI INVESTMENTS (HONG KONG) CO LTD","12,730",B01191
"RM 1708-1710 17/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","FIRST SECURITIES (HK) LTD","12,094",B01669
"18/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","GLORY SUN SECURITIES LTD","11,411",B01666
"SUITE 6B 89 WING LOK STREET HONG KONG","0.00%","AAA SECURITIES CO. LTD","11,296",B02045
"UNIT A 19/F DAH SING LIFE BUILDING 99 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","NEW REGION SECURITIES CO LTD","11,037",B01481
"RM 2902-2903 118 CONNAUGHT ROAD WEST HONG KONG","0.00%","HING WAI ALLIED SECURITIES LTD","11,013",B01433
"RM 3008 TOWER 6 THE GATEWAY HARBOUR CITY TSIMSHATSUI KOWLOON","0.00%","HING LEE SECURITIES LTD","10,377",B01559
"32/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG","0.00%","SIU ON SECURITIES LTD","10,000",B01576
"18/F ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG","0.00%","CLSA LTD","9,412",B01138
"ROOM 1602 16/F KAI TAK COMMERCIAL BUILDING 317-319 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","PRIME SECURITIES LTD","8,658",B01567
"ROOM 701 9 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","ROSA SECURITIES LTD","8,019",B01708
"10/F NINE QUEEN'S ROAD CENTRAL HONG KONG","0.00%","HENYEP SECURITIES LTD","7,636",B01212
"RM 201A 2/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","ZHONGRONG PT SECURITIES LTD","6,554",B01389
"OFFICE A 11/F HING LUNG COMMERCIAL BUILDING 68 BONHAM STRAND SHEUNG WAN HONG KONG","0.00%","HO FUNG SHARES INVESTMENT LTD","6,298",B01789
"10/F PUBLIC BANK CENTRE 120 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","PUBLIC FINANCIAL SECURITIES LTD","6,119",B01169
"SUITE 2505 25/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","HUNG SING SECURITIES LTD","6,000",B01470
"UNIT B 19/F TWO CHINACHEM PLAZA 135 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","LEE'S SECURITIES CO LTD","5,222",B01779
"7/F PEARL ORIENTAL HOUSE 60 STANLEY STREET CENTRAL HONG KONG","0.00%","ROOFER SECURITIES LTD","5,094",B01664
"23/F 77-83 WANCHAI ROAD WANCHAI HONG KONG","0.00%","K.K.M. SECURITIES LTD","5,082",B01566
"ROOM 1302 299QRC 299 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","FE SECURITIES LTD","5,033",B01141
"RM 1203-1204 12/F TAI SANG BANK BLDG 130-132 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","MONTGOMERY SECURITIES LTD","5,000",B01296
"UNIT 301 3/F INNOCENTRE 72 TAT CHEE AVENUE KOWLOON TONG KOWLOON","0.00%","TAI FUNG SECURITIES LTD","5,000",B01679
"RM 102 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG","0.00%","NATIONAL RESOURCES SECURITIES LTD","4,894",B01455
"RM 1706-7 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","WING ON SECURITIES LTD","4,427",B01684
"2/F ST. JOHN'S BUILDING 33 GARDEN ROAD CENTRAL HONG KONG","0.00%","HANG TAI SECURITIES LTD","4,318",B01271
"RM 5808-5812 58/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","HUATAI FINANCIAL HOLDINGS (HONG KONG)","4,000",B01829
"RM 101 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG","0.00%","ARISTO SECURITIES LTD","4,000",B01974
"6/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","TARZAN STOCK & SHARES LTD","3,915",B01415
"25/F GLOUCESTER TOWER THE LANDMARK 15 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CGS-CIMB SECURITIES (HONG KONG) LTD","3,657",B01347
"FLAT A 3/F KONG LING BUILDING 100-102 JERVOIS STREET SHEUNG WAN HONG KONG","0.00%","BAILI SECURITIES CO LTD","3,636",B01444
"UNIT 2810 28/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","HERMES SECURITIES LTD","3,481",B01661
"6/F GRAND BUILDING 15-18 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","AUDREY CHOW SECURITIES LTD","3,295",B01494
"G/F 169 TAI NAM ST SHAMSHUIPO KOWLOON","0.00%","TUNG TAK SECURITIES (H.K.) CO LTD","3,204",B01310
"22/F CHUN WO COMMERCIAL CENTRE 23-27 WING WO STREET HONG KONG","0.00%","PROMISING SECURITIES CO LTD","2,634",B01765
"UNIT 2508 25/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.00%","GRANSING SECURITIES CO LTD","2,494",B01660
"UNIT 1401 14/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","CHINA RICH SECURITIES LTD","2,271",B01410
"SUITE 2101-2105 21/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG","0.00%","FOSUN HANI SECURITIES LTD","2,259",B01181
"RM 2406 24/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","ROCTEC SECURITIES CO LTD","2,122",B01246
"ROOM C 1/F HARVEST BUILDING 29-35 WING KUT STREET CENTRAL HONG KONG","0.00%","YING WAH SECURITIES CO LTD","2,070",B01443
"UNITS 5-6 11/F RICHMOND COMMERCIAL BUILDING 109 ARGYLE STREET MONGKOK KOWLOON","0.00%","GARY CHENG SECURITIES LTD","2,000",B01995
"ROOM 4301-4308 & 4313 COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","FORTUNE (HK) SECURITIES LTD","1,900",B01753
"21/F ENTERTAINMENT BLDG 30 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","ONSHINE SECURITIES LTD","1,886",B01297
"FLAT B & C 3/F HO LEE COMM BLDG 38-44 D'AGUILAR ST CENTRAL HONG KONG","0.00%","KWAN YICK SECURITIES (INTERNATIONAL) LTD","1,882",B01248
"FLAT D 7/F MAN LOK BUILDING 89-93 BONHAM STRAND EAST HONG KONG","0.00%","KARFORD SECURITIES LTD","1,882",B01571
"RM 1802 CAR PO COMMERCIAL BUILDING 37-43 POTTINGER STREET HONG KONG","0.00%","INTERCONTINENT SECURITIES CO LTD","1,741",B01794
"RM 1803 CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","WING YEE SECURITIES CO LTD","1,693",B01535
"RM 608-609 6/F ONE ISLAND SOUTH 2 HEUNG YIP ROAD HONG KONG","0.00%","MEGABASE SECURITIES LTD","1,639",B01401
"7/F CHEONG SUN TOWER 118 WING LOK STREET SHEUNG WAN HONG KONG","0.00%","HENIK SECURITIES LTD","1,412",B01705
"RM 607-610 6/F TAI YAU BUILDING 181 JOHNSTON ROAD WANCHAI HONG KONG","0.00%","KARL-THOMSON SECURITIES CO LTD","1,355",B01514
"2/F CHUNG NAM HSE 59 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","MARS SECURITIES CO LTD","1,318",B01457
"RM 503 GENERAL COMMERCIAL BUILDING 156-164 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","UNICORN SECURITIES CO LTD","1,318",B01509
"UNIT 5106-07 51/F THE CENTER 99 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.00%","BRADBURY SECURITIES LTD","1,231",B01277
"8/F WAH YUEN BLDG 145-149 QUEEN'S RD CENTRAL HONG KONG","0.00%","TAK FUNG SHARES INVESTMENT CO LTD","1,223",B01144
"RM 303-5 YUE SHING COMM. BUILDING 15-16 QUEEN VICTORIA STREET CENTRAL HONG KONG","0.00%","JOSPA INVESTMENT CO LTD","1,223",B01362
"RM 702 FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","KWOK HING SECURITIES LTD","1,222",B01547
"RM 1101-1103 WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","PUBLIC SECURITIES LTD","1,130",B01376
"RM 4601-4603 46/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","OKASAN INTERNATIONAL (ASIA) LTD","1,129",B01318
"RM 602 10 POTTINGER STREET CENTRAL HONG KONG","0.00%","MING HON SECURITIES LTD","1,129",B01651
"RM 3206 32/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG","0.00%","CS WEALTH SECURITIES LTD","1,120",B01294
"20/F MAN ON COMM BLDG 12 JUBILEE ST CENTRAL HONG KONG","0.00%","TSUN CHI YUEN SECURITIES CO LTD","1,050",B01240
"SUITE 1303 TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG","0.00%","IFAST SECURITIES (HK) LTD","1,000",B01459
"7/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","ZHONGTAI INTERNATIONAL SECURITIES LTD","1,000",B01959
"RM 3502 LIPPO CENTRE TOWER 2 89 QUEENSWAY HONG KONG","0.00%","ZINVEST GLOBAL LTD","1,000",B02102
"RM 1803 YUE SHING COMM BLDG 15 QUEEN VICTORIA ST CENTRAL HONG KONG","0.00%","S. W. WOO & CO LTD",941,B01350
"4/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","SBI CHINA CAPITAL FINANCIAL SERVICES LTD",941,B01386
"ROOM 2510-2518 25/F SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG","0.00%","HAO TIAN INTERNATIONAL SECURITIES LTD",941,B01454
"FLAT D 4/F MONGKOK BUILDING 546-548 NATHAN ROAD MONGKOK KOWLOON","0.00%","WAI FAT SECURITIES LTD",941,B01632
"13/F WINGS BUILDING 110-116 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","TAI NING STOCK CO LTD",941,B01646
"22/F JUBILEE CENTRE 18 FENWICK STREET WANCHAI HONG KONG","0.00%","CES CAPITAL INTERNATIONAL (HONG KONG) CO",941,B01738
"RM 1717 CHINA MERCHANTS TOWER SHUN TAK CENTRE 168 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","UPMAX SECURITIES LTD",848,B02093
"RM 3302 33/F TOWER ONE LIPPO CENTRE 89 QUEENSWAY HONG KONG","0.00%","MORGAN FUEL GO SECURITIES LTD",847,B01326
"UNIT 906 9/F CAPITAL CENTRE 151 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","PO LEE SECURITIES LTD",847,B01374
"ROOM 510 5/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","PING AN SECURITIES LTD",847,B01462
"15/F WORLD TRUST TOWER 50 STANLEY STREET CENTRAL HONG KONG","0.00%","CHEER UNION SECURITIES LTD",846,B01659
"11A CKK COMMERCIAL CENTRE 289 HENNESSY ROAD WANCHAI HONG KONG","0.00%","HONG KONG STOCK LINK SECURITIES LTD",791,B01404
"25/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG","0.00%","WIN WIND SECURITIES LTD",753,B01580
"RM 604 TAI PO COMMERCIAL CENTRE 152-172 KWONG FUK ROAD TAI PO NEW TERRITORIES","0.00%","SINO GRADE SECURITIES LTD",752,B01585
"ROOM 1013 & 15 10/F LEIGHTON CENTRE 77 LEIGHTON ROAD CAUSEWAY BAY HONG KONG","0.00%","BEEVEST SECURITIES LTD",734,B01434
"2/F WAH KIT COMMERCIAL CENTRE 302 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","UPBEST SECURITIES CO LTD",659,B01540
"8/F NEW WORLD TOWER I 18 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","LEI SHING HONG SECURITIES LTD",659,B01588
"21/F CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","KAM FAI SECURITIES CO LTD",659,B01615
"RM 802-803 TUNG MING BUILDING 40-42 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","0.00%","TUNG WUI SECURITIES CO LTD",659,B01619
"UNIT 2306 23/F 9 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","EAA SECURITIES LTD",621,B01528
"23/F & 24/F KWONG FAT HONG BUILDING 1 RUMSEY STREET CENTRAL HONG KONG","0.00%","KWONG FAT HONG (SECURITIES) LTD",612,B01543
"RM 304-307 CHINA INSURANCE GROUP BLDG 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","TAI YIP STOCK CO LTD",569,B01238
"19/F 88 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","CVP SECURITIES LTD",565,B01771
"FLAT 1A 1/F MAN HING COMMERCIAL BUILDING 79-83 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG","0.00%","CARRIER STOCK INVESTMENT CO LTD",564,B01552
"SUITE 801 CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG","0.00%","PREMIER Q SECURITIES LTD",482,B01266
"26/F CHINA UNITED CENTRE 28 MARBLE ROAD NORTH POINT HONG KONG","0.00%","SATINU MARKETS LTD",477,B01192
"3/F MONARCH HOUSE II 501-503 HENNESSY ROAD CAUSEWAY BAY HONG KONG","0.00%","SEAGA INTERNATIONAL LTD",473,B01782
"29/F QUEEN'S ROAD CENTRE 152 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","HEAD & SHOULDERS SECURITIES LTD",471,B01714
"1/F GUANGDONG INVESTMENT TOWER 148 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","HOORAY SECURITIES LTD",470,B01227
"13/F WING YEE COMMERCIAL BLDG 5 WING KUT STREET CENTRAL HONG KONG","0.00%","CHEE TAK SECURITIES LTD",470,B01417
"ROOM A 7/F PICO TOWER 64-66 GLOUCESTER ROAD WANCHAI HONG KONG","0.00%","SHINENEX SECURITIES LTD",470,B01790
"UNIT 1701 17/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","RAFFAELLO SECURITIES (HK) LTD",423,B01795
"RM 1903 19/F JUPITER TOWER 9-11 JUPITER STREET NORTH POINT HONG KONG","0.00%","GRAND CARTEL SECURITIES CO LTD",376,B01489
"UNIT 3308 33/F ENTERPRISE SQUARE THREE 39 WANG CHIU ROAD KOWLOON BAY KOWLOON","0.00%","HUABANG SECURITIES LTD",338,B01604
"11/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","YF SECURITIES CO LTD",331,B01577
"UNITS 3910-13 39/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG","0.00%","POWER SECURITIES CO LTD",282,B01694
"SUITE 5107 51/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG","0.00%","SHUN HENG SECURITIES LTD",282,B01731
"RM 805-806 8/F FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","SUN SECURITIES LTD",282,B01922
"RM 4303 43/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG","0.00%","C.P. SECURITIES INTERNATIONAL LTD",200,B01726
"20/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","0.00%","WING FUNG SECURITIES LTD",188,B01351
"3102-05 31/F WEST TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG","0.00%","KAISER SECURITIES LTD",188,B01469
"6/F YARDLEY COMMERCIAL BUILDING NO.3 CONNAUGHT ROAD WEST HONG KONG","0.00%","SUN GROWTH SECURITIES LTD",188,B01472
"15/F NO.1 LAN KWAI FONG CENTRAL HONG KONG","0.00%","GOLDRIDE SECURITIES LTD",188,B01501
"16/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG","0.00%","SINOFORTUNE SECURITIES LTD",188,B01754
"45/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG","0.00%","YAT LUNG SECURITIES LTD",150,B01156
"FLAT A & B 20/F YUE ON COMMERCIAL BUILDING 385-387 LOCKHART ROAD WANCHAI HONG KONG","0.00%","BLOOMYEARS LTD",94,B01329
"ROOM 1001 HONG KONG HOUSE 17-19 WELLINGTON STREET CENTRAL HONG KONG","0.00%","GLS SECURITIES LTD",94,B01678
"RM 1801 18/F LEE GARDEN FIVE 18 HYSAN AVENUE CAUSEWAY BAY HONG KONG","0.00%","SHUN LOONG SECURITIES CO LTD",92,B01568
"RM 1008 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG","0.00%","CHINA PACIFIC SECURITIES LTD",8,B01346
